year,Protein_source,category,Subcategory,Total_EU_production_(A),EU_imports_(B),EU_exports_(C),Total_EU_domestic_use_(D),EU_total_feed_use(E),Feed_use_EU_origin(F),Protein_content(feed_use)(G),EU_total_feed_use(H)=(E)*(G),Feed_use_EU_origin(I)=(F)*(G),%of_total_feed_use,
2023/2024,Crops,Crops,Crops,,,,,162.3045387,137.4766467,,16.624278,14.23607257,0.856342307,0.233488211
2023/2024,Cereal,Crops,Cereal,269.7677905,30.509503,45.98750624,254.2897872,156.85,132.8341047,,15.1745,13.0045334,0.856999137,0.213126059
2023/2024,Common_Wheat,Crops,Cereal,125.621171,8,31,102.621171,45.8,37.8,0.11,5.038,4.158,,
2023/2024,Barley,Crops,Cereal,47.53163748,1.7,9.5,39.73163748,31.5,31.5,0.1,3.15,3.15,,
2023/2024,Durum,Crops,Cereal,6.990688865,2.8,0.6,9.190688865,0.3,0.22818819,0.12,0.036,0.027382583,,
2023/2024,Maize,Crops,Cereal,62.27892528,17.5,4.5,75.27892528,58.9,43.15,0.08,4.712,3.452,,
2023/2024,Rye,Crops,Cereal,7.444011216,0.152208692,0.188817254,7.407402653,2.652,2.652,0.11,0.29172,0.29172,,
2023/2024,Sorghum,Crops,Cereal,0.8096755,0.094036506,0.01600322,0.887708786,0.918,0.837303991,0.11,0.10098,0.092103439,,
2023/2024,Oats,Crops,Cereal,5.87093147,0.106095874,0.158547829,5.818479515,4.814,4.814,0.11,0.52954,0.52954,,
2023/2024,Triticate,Crops,Cereal,11.0090162,0.002275162,0.004618308,11.00667305,10,10,0.11,1.1,1.1,,
2023/2024,Others,Crops,Cereal,2.211733484,0.154886763,0.019519629,2.347100618,1.966,1.852612537,0.11,0.21626,0.203787379,,
2023/2024,Oilseeds,Crops,Oilseeds,32.82438,20.09,1.27,51.64438,1.6018587,1.6018587,,0.46342162,0.46342162,1,0.006508763
2023/2024,Soya beans,Crops,Oilseeds,2.82305,13.5,0.23,16.09305,1.2,1.2,0.33,0.396,0.396,,
2023/2024,Rapeseed,Crops,Oilseeds,19.81679,5.61,0.46,24.96679,0.1981679,0.1981679,0.1881,0.037275382,0.037275382,,
2023/2024,Sunflowerseed,Crops,Oilseeds,10.18454,0.98,0.58,10.58454,0.2036908,0.2036908,0.148,0.030146238,0.030146238,,
2023/2024,Pulses,Crops,Pulses,4.119471084,1.790821609,0.649653259,5.260639434,3.852680026,3.040683243,,0.986356383,0.768117553,0.778742416,0.013853389
2023/2024,Field peas,Crops,Pulses,1.95565,1.03024167,0.298264442,2.687627228,1.937503003,1.409822653,0.225,0.435938176,0.317210097,,
2023/2024,Broad beans,Crops,Pulses,1.206612,0.124493268,0.317933404,1.013171864,0.878529477,0.878529477,0.26,0.228417664,0.228417664,,
2023/2024,Lupins,Crops,Pulses,0.347474211,0.287259698,0.000130368,0.634603542,0.628386571,0.344070138,0.35,0.2199353,0.120424548,,
2023/2024,Other protein crops,Crops,Pulses,0.609734872,0.348826972,0.033325044,0.9252368,0.408260976,0.408260976,0.25,0.102065244,0.102065244,,
2023/2024,Co-products,Co-products,Co-products,,,,,79.31643874,43.40483012,,23.84292502,9.334861601,0.39151495,0.334874206
2023/2024,Oilseed meals,Co-products,Oilseed meals,30.19325216,21.49859937,2.482827452,49.20902407,49.01656642,14.90591673,,19.3647345,5.153347427,0.266120221,0.271977959
2023/2024,Soya bean meals,Co-products,Soya bean meals,10.5237443,16.05379881,0.600861532,25.97668157,25.78422392,1.07849931,,11.7558594,0.463754703,0.039448813,0.165111205
2023/2024,Soya bean meal (from EU soya bean production),Co-products,Soya bean meals,1.1005095,,,1.1005095,1.07849931,1.07849931,0.43,0.463754703,0.463754703,,
2023/2024,Soya bean meal (imported soya bean crushing),Co-products,Soya bean meals,9.123234798,,0.600861532,8.522373266,8.351925801,0,0.455,3.800126239,0,,
2023/2024,Soya bean meal (traded as such),Co-products,Soya bean meals,,16.05379881,,16.05379881,16.05379881,0,0.455,7.304478456,0,,
2023/2024,Soya bean protein concentrate,Co-products,Soya bean meals,0.3,,,0.3,0.3,0,0.625,0.1875,0,,
2023/2024,Rapeseed meals,Co-products,Rapeseed meals,13.8849559,0.843075233,0.794875463,13.93315567,13.93315567,9.970151822,,4.597941372,3.290150101,0.71557026,0.064578149
2023/2024,Rapeseed meal (from EU rapeseed production),Co-products,Rapeseed meals,10.76502729,,0.794875463,9.970151822,9.970151822,9.970151822,0.33,3.290150101,3.290150101,,
2023/2024,Rapeseed meal (imported rapeseed crushing),Co-products,Rapeseed meals,3.119928618,,,3.119928618,3.119928618,0,0.33,1.029576444,0,,
2023/2024,Rapeseed meal (traded as such),Co-products,Rapeseed meals,,0.843075233,,0.843075233,0.843075233,0,0.33,0.278214827,0,,
2023/2024,Sunflower meals,Co-products,Sunflower meals,5.16503427,2.758664987,1.014178794,6.909520463,6.909520463,3.672635961,,2.487427367,1.322148946,0.531532685,0.034935951
2023/2024,Sunflower meal (from EU sunflowerseed production),Co-products,Sunflower meals,4.686814755,,1.014178794,3.672635961,3.672635961,3.672635961,0.36,1.322148946,1.322148946,,
2023/2024,Sunflower meal (imported sunflowerseed crushing),Co-products,Sunflower meals,0.478219515,,,0.478219515,0.478219515,0,0.36,0.172159025,0,,
2023/2024,Sunflower meal (traded as such),Co-products,Sunflower meals,,2.758664987,,2.758664987,2.758664987,0,0.36,0.993119395,0,,
2023/2024,Other oilseed meals,Co-products,Other oilseed meals,0.619517687,1.84306034,0.072911663,2.389666364,2.389666364,0.184629636,,0.523506365,0.077293677,0.147646107,0.007352654
2023/2024,Palmkern meal,Co-products,Other oilseed meals,0,1.702568525,0.042765291,1.659803234,1.659803234,-0.042765291,0.16,0.265568517,-0.006842447,,
2023/2024,Linseed meal,Co-products,Other oilseed meals,0.370466667,0.04174064,0.008490279,0.403717028,0.403717028,0,0.34,0.137263789,0,,
2023/2024,Other oilseed meals,Co-products,Other oilseed meals,0.24905102,0.098751175,0.021656093,0.326146102,0.326146102,0.227394927,0.37,0.120674058,0.084136123,,
2023/2024,Other co-product,Co-products,Other co-product,30.85042685,3.742893127,0.969742124,33.62357785,30.29987233,28.49891339,,4.478190513,4.181514174,0.933750844,0.062896247
2023/2024,Starch industry's medium protein products (15-30%),Co-products,Other co-product,3.9,0.457917797,0.229224177,4.12869362,4.12869362,4.12869362,0.19,0.784451788,0.784451788,,
2023/2024,Starch industry's super protein products (60-90%),Co-products,Other co-product,1.04,,,1.04,0.6,0.6,0.73,0.438,0.438,,
2023/2024,Distillers' dried grains with solubles,Co-products,Other co-product,3.129046695,0.811832557,0.22466791,3.716211342,3.716211342,2.904378785,30% wheat 27% maize,1.090508426,0.871313636,,
2023/2024,Wet distillers' grain,Co-products,Other co-product,6.282094122,,,6.282094122,6.282094122,6.282094122,0.054,0.339233083,0.339233083,,
2023/2024,Wheat bran,Co-products,Other co-product,7.36076003,0.120940881,0.13429822,7.347402691,7.347402691,7.347402691,0.155,1.138847417,1.138847417,,
2023/2024,Citrus pulp,Co-products,Other co-product,0,0.173287729,0.008429078,0.164858651,0.164858651,0,0.075,0.012364399,0,,
2023/2024,Beet pulp pellets,Co-products,Other co-product,6.01844,0.824267728,0.139133722,6.703574006,6.703574006,5.879306278,0.079,0.529582346,0.464465196,,
2023/2024,Molasses,Co-products,Other co-product,3.120086,1.354646435,0.233989017,4.240743418,1.357037894,1.357037894,"10.7% beet
4.2%  cane",0.145203055,0.145203055,,
2023/2024,Non-plant sources,Non-plant sources,Non-plant sources,,,,,8.254936057,8.056055238,,1.883602161,1.756969413,0.932770969,0.026455218
2023/2024,Fish meal,Non-plant sources,Non-plant sources,0.381,0.263429479,0.162318452,0.482111027,0.482111027,0.381,0.65,0.313372168,0.24765,,
2023/2024,Whey powder ,Non-plant sources,Non-plant sources,2.214,0.08457693,0.789030043,1.509546887,0.8,0.8,0.125,0.1,0.1,,
2023/2024,Skimmed milk powder ,Non-plant sources,Non-plant sources,1.4812,0.039800947,0.793514177,0.72748677,0.08,0.08,0.34,0.0272,0.0272,,
2023/2024,Processed animal proteins,Non-plant sources,Non-plant sources,2.96,0.09963325,1.208764895,1.755,1.49282503,1.395055238,0.623,0.930029994,0.869119413,,
2023/2024,Former foodstuff,Non-plant sources,Non-plant sources,,,,,5.4,5.4,0.095,0.513,0.513,,
2023/2024,roughage,roughage,roughage,,,,,943.3428239,943.3428239,,28.84884108,28.84884108,1,0.405182365
2023/2024,Grass,roughage,roughage,632.0233252,,,632.0233252,632.0233252,632.0233252,0.02597243,16.41518149,16.41518149,,
2023/2024,Silage maize,roughage,roughage,237.04558,,,237.04558,237.04558,237.04558,0.0294875,6.98988154,6.98988154,,
2023/2024,Fodder legumes,roughage,roughage,73.36862228,,,73.36862228,73.36862228,73.36862228,0.0721,5.289877667,5.289877667,,
2023/2024,Dried fodder,roughage,roughage,3.07462,0.042561326,2.211884941,0.905296385,0.905296385,0.905296385,0.17,0.153900385,0.153900385,,
